ticker,tipo_provento,data_com,data_pagamento,valor
SIMH3,JRS CAP PROPRIO,2011-12-09,2012-01-09,0.066729
SIMH3,DIVIDENDO,2011-04-29,2011-05-27,0.112157
SLCE3,JRS CAP PROPRIO,2020-11-16,2020-12-16,0.198139
SLCE3,DIVIDENDO,2019-04-30,2019-05-09,0.947055
SLCE3,DIVIDENDO,2008-04-03,2008-04-03,0.083846
SMTO3,DIVIDENDO,2023-06-22,2023-07-04,0.447491
SOMA3,DIVIDENDO,2023-04-28,2023-06-28,0.101442
SOMA3,DIVIDENDO,2022-04-29,2022-06-24,0.09073
SOND3,DIVIDENDO,2015-05-01,2015-08-26,0.579436
SOND5,DIVIDENDO,2015-05-01,2015-08-26,0.63738
SOND6,DIVIDENDO,2015-05-01,2015-08-26,0.63738
SQIA3,JRS CAP PROPRIO,2023-05-05,2023-07-31,0.055404
SQIA3,JRS CAP PROPRIO,2022-05-06,2022-05-16,0.066493
SQIA3,JRS CAP PROPRIO,2021-04-29,2021-05-15,0.019911
SQIA3,DIVIDENDO,2019-04-29,2019-05-21,0.056265
SQIA3,JRS CAP PROPRIO,2018-03-05,2018-05-21,0.18606
SQIA3,JRS CAP PROPRIO,2017-03-27,2017-05-22,0.094532
SQIA3,JRS CAP PROPRIO,2016-08-29,2016-09-12,0.11225
SQIA3,DIVIDENDO,2016-04-29,2016-05-11,0.00097
SQIA3,JRS CAP PROPRIO,2016-04-29,2016-05-11,0.101276
SQIA3,JRS CAP PROPRIO,2015-12-11,2015-12-23,0.112477
SQIA3,JRS CAP PROPRIO,2015-10-09,2015-10-22,0.11576
SQIA3,JRS CAP PROPRIO,2015-05-08,2015-05-22,0.26284
SQIA3,JRS CAP PROPRIO,2014-05-02,2014-05-05,0.153103
STBP3,DIVIDENDO,2023-10-30,2023-11-13,0.112023
SUZB3,DIVIDENDO,2016-04-25,2016-05-04,0.258
SUZB3,DIVIDENDO,2015-11-12,2015-11-24,0.10337
TAEE11,DIVIDENDO,2022-05-09,2022-05-31,2.323063
TAEE11,DIVIDENDO,2008-07-30,2008-07-30,0.964179
TAEE11,DIVIDENDO,2008-03-10,2008-03-10,0.621739
TAEE11,JRS CAP PROPRIO,2008-03-10,2008-03-10,0.140452
TAEE11,JRS CAP PROPRIO,2007-08-08,2007-08-08,0.202852
TAEE11,DIVIDENDO,2007-08-08,2007-08-08,1.214769
TAEE11,DIVIDENDO,2007-03-21,2007-03-21,1.0712
TAEE3,DIVIDENDO,2022-05-09,2022-05-31,0.774354
TAEE3,DIVIDENDO,2008-07-30,2008-07-30,0.321393
TAEE3,JRS CAP PROPRIO,2008-03-10,2008-03-10,0.046817
TAEE3,DIVIDENDO,2008-03-10,2008-03-10,0.207246
TAEE3,DIVIDENDO,2007-08-08,2007-08-08,0.404923
TAEE3,JRS CAP PROPRIO,2007-08-08,2007-08-08,0.067617
TAEE3,DIVIDENDO,2007-03-21,2007-03-21,0.357071
TAEE4,DIVIDENDO,2022-05-09,2022-05-31,0.774354
TAEE4,DIVIDENDO,2008-07-30,2008-07-30,0.321393
TAEE4,JRS CAP PROPRIO,2008-03-10,2008-03-10,0.046817
TAEE4,DIVIDENDO,2008-03-10,2008-03-10,0.207246
TAEE4,DIVIDENDO,2007-08-08,2007-08-08,0.404923
TAEE4,JRS CAP PROPRIO,2007-08-08,2007-08-08,0.067617
TAEE4,DIVIDENDO,2007-03-21,2007-03-21,0.357071
TASA3,JRS CAP PROPRIO,2012-11-20,2013-05-26,0.032285
TASA3,JRS CAP PROPRIO,2008-11-26,2009-03-16,0.2
TASA3,JRS CAP PROPRIO,2007-11-27,2008-01-31,0.16
TASA4,JRS CAP PROPRIO,2012-11-20,2013-05-26,0.032285
TASA4,JRS CAP PROPRIO,2008-11-26,2009-03-16,0.2
TASA4,JRS CAP PROPRIO,2007-11-27,2008-01-31,0.16
TCSA3,DIVIDENDO,2016-04-29,2016-12-23,1.614
TCSA3,DIVIDENDO,2015-04-24,2015-07-29,2.056
TCSA3,DIVIDENDO,2014-04-03,2014-04-16,4.683
TCSA3,DIVIDENDO,2012-04-26,2012-05-09,3.00604
TCSA3,DIVIDENDO,2011-04-28,2011-05-10,2.565
TCSA3,DIVIDENDO,2010-04-29,2010-05-06,1.806
TCSA3,DIVIDENDO,2009-04-28,2009-05-07,1.23
TCSA3,DIVIDENDO,2008-04-18,2008-05-07,0.531
TCSA3,DIVIDENDO,2008-04-21,2008-05-07,0.53
TCSA3,DIVIDENDO,2007-04-16,2007-05-07,0.158
TEKA3,DIVIDENDO,2002-03-28,2002-05-28,0.0498
TEKA4,DIVIDENDO,2002-03-28,2002-05-28,0.0548
TFCO4,DIVIDENDO,2023-09-25,2024-04-30,0.03758
TFCO4,JRS CAP PROPRIO,2021-11-16,2021-11-30,0.051944
TGMA3,JRS CAP PROPRIO,2023-04-12,2023-04-24,0.13
TIMP3,DIVIDENDO,2007-04-12,2007-04-12,0.000193
TIMP3,DIVIDENDO,2006-03-07,2006-03-07,7e-05
TIMP3,JRS CAP PROPRIO,2005-12-14,2005-12-14,7.958376
TIMP3,DIVIDENDO,2005-03-09,2005-03-09,6e-05
TIMP3,JRS CAP PROPRIO,2004-12-30,2004-12-30,4.270432
TIMP3,DIVIDENDO,2004-04-23,2004-04-23,7.6e-05
TIMP3,JRS CAP PROPRIO,2003-12-30,2003-12-30,3.366262
TIMP3,DIVIDENDO,2003-03-18,2003-03-18,3.432692
TIMP3,JRS CAP PROPRIO,2002-12-30,2002-12-30,4.956702
TIMP3,DIVIDENDO,2002-04-05,2002-04-05,2.54792
TIMP3,RENDIMENTO,2002-04-05,2002-04-05,0.0
TIMP3,JRS CAP PROPRIO,2001-12-28,2001-12-28,6.162768
TIMP3,DIVIDENDO,2001-04-25,2001-04-25,2.763722
TIMP3,RENDIMENTO,2001-04-25,2001-04-25,1.3124
TIMP3,JRS CAP PROPRIO,2000-12-28,2000-12-28,7.52095
TIMP3,JRS CAP PROPRIO,1999-12-30,1999-12-30,0.042541
TIMP3,DIVIDENDO,1999-04-30,1999-04-30,0.01613
TIMP3,RENDIMENTO,1999-04-30,1999-04-30,0.0005
TIMP3,JRS CAP PROPRIO,1998-12-30,1998-12-30,0.09193
TIMS3,JRS CAP PROPRIO,2019-10-07,2020-03-31,0.156471
TIMS3,JRS CAP PROPRIO,2020-01-17,2020-01-29,0.102353
TIMS3,JRS CAP PROPRIO,2019-08-09,2019-10-08,0.152419
TIMS3,JRS CAP PROPRIO,2019-01-02,2019-01-24,0.156997
TIMS3,JRS CAP PROPRIO,2018-07-25,2018-11-12,0.099162
TIMS3,JRS CAP PROPRIO,2018-05-11,2018-08-10,0.09504
TIMS3,DIVIDENDO,2018-04-19,2018-06-19,0.04269
TIMS3,JRS CAP PROPRIO,2017-11-14,2017-11-24,0.078574
TIMS3,DIVIDENDO,2017-04-19,2017-06-19,0.0614
TIMS3,DIVIDENDO,2016-04-12,2016-06-10,0.1936
TIMS3,DIVIDENDO,2015-05-12,2015-06-16,0.1518
TIMS3,DIVIDENDO,2014-04-10,2014-09-11,0.17445
TIMS3,DIVIDENDO,2013-05-10,2013-06-12,0.3074
TKNO4,JRS CAP PROPRIO,2023-04-27,2023-06-26,3.151922
TPIS3,DIVIDENDO,2023-04-26,2023-12-31,0.045896
TPIS3,DIVIDENDO,2016-04-29,2016-12-31,0.23043
TRPL3,JRS CAP PROPRIO,2008-12-12,2008-12-12,0.39969
TRPL3,JRS CAP PROPRIO,2008-10-09,2008-10-09,0.404516
TRPL3,DIVIDENDO,2008-10-09,2008-10-09,0.365823
TRPL3,DIVIDENDO,2008-07-08,2008-07-08,0.971297
TRPL3,JRS CAP PROPRIO,2008-07-08,2008-07-08,0.390604
TRPL3,DIVIDENDO,2008-04-10,2008-04-10,0.448806
TRPL3,JRS CAP PROPRIO,2008-03-31,2008-03-31,0.412171
TRPL3,DIVIDENDO,2008-01-21,2008-01-21,1.138762
TRPL3,JRS CAP PROPRIO,2007-12-13,2007-12-13,0.262066
TRPL3,JRS CAP PROPRIO,2007-11-05,2007-11-05,1.337139
TRPL3,DIVIDENDO,2007-10-01,2007-10-01,1.162283
TRPL3,DIVIDENDO,2007-07-10,2007-07-10,0.001609
TRPL3,DIVIDENDO,2007-03-19,2007-03-19,0.000569
TRPL3,DIVIDENDO,2007-03-19,2007-03-19,0.000405
TRPL3,JRS CAP PROPRIO,2006-05-25,2006-05-25,0.000182
TRPL3,DIVIDENDO,2006-04-20,2006-04-20,0.000651
TRPL3,JRS CAP PROPRIO,2005-12-28,2005-12-28,0.000602
TRPL3,JRS CAP PROPRIO,2005-09-22,2005-09-22,0.000636
TRPL3,JRS CAP PROPRIO,2005-06-23,2005-06-23,0.000364
TRPL3,JRS CAP PROPRIO,2004-12-02,2004-12-02,0.00032
TRPL3,JRS CAP PROPRIO,2004-05-20,2004-05-20,0.000182
TRPL3,JRS CAP PROPRIO,2003-09-18,2003-09-18,0.000528
TRPL3,JRS CAP PROPRIO,2003-05-22,2003-05-22,0.000458
